"","X.query","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1","Montipora_capitata_HIv3___RNAseq.g45067.t1","GO:0035023","regulation of Rho protein signal transduction",72,19,9.01,0.00016,"Biological Processes",0.263888888888889
"2","Montipora_capitata_HIv3___RNAseq.g15081.t1","GO:0002687","positive regulation of leukocyte migration",45,16,5.63,7.2e-09,"Biological Processes",0.355555555555556
"3","Montipora_capitata_HIv3___RNAseq.g15081.t1","GO:0008306","associative learning",143,35,17.9,0.00014,"Biological Processes",0.244755244755245
"4","Montipora_capitata_HIv3___RNAseq.g24161.t1","GO:1902476","chloride transmembrane transport",63,23,7.89,9e-07,"Biological Processes",0.365079365079365
"5","Montipora_capitata_HIv3___RNAseq.g40850.t1","GO:0007166","cell surface receptor signaling pathway",1472,209,184.26,2.9e-09,"Biological Processes",0.141983695652174
"6","Montipora_capitata_HIv3___RNAseq.g27363.t1","GO:0001101","response to acid chemical",314,56,39.31,2.4e-05,"Biological Processes",0.178343949044586
"7","Montipora_capitata_HIv3___RNAseq.g27363.t1","GO:0009582","detection of abiotic stimulus",159,41,19.9,3e-06,"Biological Processes",0.257861635220126
"8","Montipora_capitata_HIv3___RNAseq.g35228.t1","GO:0007166","cell surface receptor signaling pathway",1472,209,184.26,2.9e-09,"Biological Processes",0.141983695652174
"9","Montipora_capitata_HIv3___TS.g27540.t1","GO:0007186","G protein-coupled receptor signaling pathway",369,117,46.19,7.3e-08,"Biological Processes",0.317073170731707
"10","Montipora_capitata_HIv3___TS.g27540.t1","GO:0007200","phospholipase C-activating G protein-coupled recept...",58,28,7.26,1e-10,"Biological Processes",0.482758620689655
"11","Montipora_capitata_HIv3___TS.g27540.t1","GO:0007218","neuropeptide signaling pathway",53,31,6.63,2.1e-15,"Biological Processes",0.584905660377358
"12","Montipora_capitata_HIv3___TS.g27540.t1","GO:0007268","chemical synaptic transmission",523,108,65.47,0.00013,"Biological Processes",0.206500956022945
"13","Montipora_capitata_HIv3___TS.g27540.t1","GO:0007631","feeding behavior",145,43,18.15,6.6e-06,"Biological Processes",0.296551724137931
"14","Montipora_capitata_HIv3___TS.g27540.t1","GO:0010840","regulation of circadian sleep/wake cycle, wakefulne...",10,7,1.25,4e-05,"Biological Processes",0.7
"15","Montipora_capitata_HIv3___TS.g27540.t1","GO:0042749","regulation of circadian sleep/wake cycle",71,34,8.89,4.8e-07,"Biological Processes",0.47887323943662
"16","Montipora_capitata_HIv3___TS.g27540.t1","GO:0051480","regulation of cytosolic calcium ion concentration",174,59,21.78,7.9e-13,"Biological Processes",0.339080459770115
"17","Montipora_capitata_HIv3___TS.g37051.t2","GO:0001101","response to acid chemical",314,56,39.31,2.4e-05,"Biological Processes",0.178343949044586
"18","Montipora_capitata_HIv3___TS.g37051.t2","GO:0046677","response to antibiotic",351,61,43.94,0.00024,"Biological Processes",0.173789173789174
"19","Montipora_capitata_HIv3___RNAseq.g39752.t1","GO:0007186","G protein-coupled receptor signaling pathway",369,117,46.19,7.3e-08,"Biological Processes",0.317073170731707
"20","Montipora_capitata_HIv3___RNAseq.g28628.t1","GO:0001101","response to acid chemical",314,56,39.31,2.4e-05,"Biological Processes",0.178343949044586
"21","Montipora_capitata_HIv3___TS.g32377.t1","GO:0050805","negative regulation of synaptic transmission",84,33,10.52,1.3e-09,"Biological Processes",0.392857142857143
"22","Montipora_capitata_HIv3___RNAseq.g26779.t1","GO:0050911","detection of chemical stimulus involved in sensory ...",14,9,1.75,8.1e-06,"Biological Processes",0.642857142857143
"23","Montipora_capitata_HIv3___RNAseq.33576_t","GO:0007166","cell surface receptor signaling pathway",1472,209,184.26,2.9e-09,"Biological Processes",0.141983695652174
"24","Montipora_capitata_HIv3___RNAseq.33576_t","GO:0046717","acid secretion",65,22,8.14,9.2e-05,"Biological Processes",0.338461538461538
"25","Montipora_capitata_HIv3___RNAseq.g34531.t1","GO:0007166","cell surface receptor signaling pathway",1472,209,184.26,2.9e-09,"Biological Processes",0.141983695652174
"26","Montipora_capitata_HIv3___RNAseq.g34531.t1","GO:0060259","regulation of feeding behavior",66,20,8.26,1.7e-05,"Biological Processes",0.303030303030303
"27","Montipora_capitata_HIv3___RNAseq.g14968.t1","GO:0042048","olfactory behavior",103,33,12.89,3.4e-05,"Biological Processes",0.320388349514563
"28","Montipora_capitata_HIv3___RNAseq.g37318.t1","GO:0002687","positive regulation of leukocyte migration",45,16,5.63,7.2e-09,"Biological Processes",0.355555555555556
"29","Montipora_capitata_HIv3___RNAseq.g37318.t1","GO:0006836","neurotransmitter transport",245,51,30.67,8.8e-06,"Biological Processes",0.208163265306122
"30","Montipora_capitata_HIv3___RNAseq.g37318.t1","GO:0007166","cell surface receptor signaling pathway",1472,209,184.26,2.9e-09,"Biological Processes",0.141983695652174
"31","Montipora_capitata_HIv3___RNAseq.g37318.t1","GO:0007186","G protein-coupled receptor signaling pathway",369,117,46.19,7.3e-08,"Biological Processes",0.317073170731707
"32","Montipora_capitata_HIv3___RNAseq.g19920.t1b","GO:0007268","chemical synaptic transmission",523,108,65.47,0.00013,"Biological Processes",0.206500956022945
"33","Montipora_capitata_HIv3___RNAseq.g19920.t1b","GO:0009612","response to mechanical stimulus",212,50,26.54,2.7e-06,"Biological Processes",0.235849056603774
