"","X.1","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1",7,"Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g33549.t1",0.962161170169037,0.000131627285293379,0.0309462980531405,148,-21.27,"2 23","338 357",21,"66.67%","76.19%","V91","V91","blue",-0.228701557151803,-0.228701557151803,-0.106577904522054,-0.151326650770429,0.460965021555352,0.0399495475800486,0.188877692459743,0.025515408000946,0.208021218732508,0.208021218732508,0.561532628219843,0.408377850737405,0.0079253055778921,0.82814283963992,0.300528893385831,0.889753035468416,"ZGA1","GO:0007186","G protein-coupled receptor signaling pathway",38,13,3.4,0.00201,"Biological Processes",0.342105263157895
"2",7,"Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g33549.t1",0.962161170169037,0.000131627285293379,0.0309462980531405,148,-21.27,"2 23","338 357",21,"66.67%","76.19%","V91","V91","blue",-0.228701557151803,-0.228701557151803,-0.106577904522054,-0.151326650770429,0.460965021555352,0.0399495475800486,0.188877692459743,0.025515408000946,0.208021218732508,0.208021218732508,0.561532628219843,0.408377850737405,0.0079253055778921,0.82814283963992,0.300528893385831,0.889753035468416,"ZGA1","GO:0007218","neuropeptide signaling pathway",6,3,0.54,0.00687,"Biological Processes",0.5
"3",44,"Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g26667.t4",-0.822422246930559,0.0122010265665116,0.107598977180429,153,-31.56,"2 23","529 554",23,"65.22%","69.57%","V307","V307","blue",-0.339657772162813,-0.230798442952905,-0.271311618995119,-0.11180198670466,0.450968043571483,0.162008256753766,0.23248855702992,0.108104963460327,0.0571802581926427,0.203767805213542,0.133085757893203,0.54239195912283,0.00958489741080522,0.375688855503205,0.200383511674312,0.555905663578632,"ZGA1","GO:0006508","proteolysis",106,12,9.48,0.03143,"Biological Processes",0.113207547169811
"4",44,"Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g26667.t4",-0.822422246930559,0.0122010265665116,0.107598977180429,153,-31.56,"2 23","529 554",23,"65.22%","69.57%","V307","V307","blue",-0.339657772162813,-0.230798442952905,-0.271311618995119,-0.11180198670466,0.450968043571483,0.162008256753766,0.23248855702992,0.108104963460327,0.0571802581926427,0.203767805213542,0.133085757893203,0.54239195912283,0.00958489741080522,0.375688855503205,0.200383511674312,0.555905663578632,"ZGA1","GO:0009636","response to toxic substance",41,6,3.67,0.02887,"Biological Processes",0.146341463414634
"5",44,"Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g26667.t4",-0.822422246930559,0.0122010265665116,0.107598977180429,153,-31.56,"2 23","529 554",23,"65.22%","69.57%","V307","V307","blue",-0.339657772162813,-0.230798442952905,-0.271311618995119,-0.11180198670466,0.450968043571483,0.162008256753766,0.23248855702992,0.108104963460327,0.0571802581926427,0.203767805213542,0.133085757893203,0.54239195912283,0.00958489741080522,0.375688855503205,0.200383511674312,0.555905663578632,"ZGA1","GO:0030162","regulation of proteolysis",44,6,3.93,0.02929,"Biological Processes",0.136363636363636
"6",132,"Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g41517.t1",0.738221524593838,0.0365037138498953,0.17276832258302,158,-23.64,"2 21","250 275",23,"69.57%","78.26%","V1069","V1069","blue",-0.156921759274198,-0.408533674620962,-0.120962692734746,-0.135815084822502,0.406515659626137,0.124023804769672,0.139632738203973,0.152061008852626,0.391059248379282,0.0202652458387485,0.509592528998295,0.458594152816183,0.0209532403922311,0.49885665493372,0.445939792656701,0.406080404634236,"ZGA1","GO:0006082","organic acid metabolic process",78,9,6.97,0.00532,"Biological Processes",0.115384615384615
"7",133,"Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g41517.t1",0.740276216308639,0.0357113498262561,0.171060230773948,158,-27.65,"2 21","250 275",23,"69.57%","78.26%","V1069","V1069","blue",-0.156921759274198,-0.408533674620962,-0.120962692734746,-0.135815084822502,0.406515659626137,0.124023804769672,0.139632738203973,0.152061008852626,0.391059248379282,0.0202652458387485,0.509592528998295,0.458594152816183,0.0209532403922311,0.49885665493372,0.445939792656701,0.406080404634236,"ZGA1","GO:0006082","organic acid metabolic process",78,9,6.97,0.00532,"Biological Processes",0.115384615384615
"8",169,"Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g11968.t1",0.742317787075486,0.0349345389396164,0.169321126022408,163,-22.76,"2 17","109 133",16,"81.25%","93.75%","V1388","V1388","blue",-0.361738580285252,-0.244068677272374,-0.276677106977746,0.142598793612499,0.606072442945006,0.28878151178838,0.105958518442621,-0.260926902253135,0.0419147701657454,0.178240367645958,0.125287206094873,0.436240053333164,0.000236583280408825,0.108942366585693,0.563822390930346,0.149182429297088,"ZGA1","GO:0002523","leukocyte migration involved in inflammatory respon...",4,3,0.36,0.00154,"Biological Processes",0.75
"9",169,"Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g11968.t1",0.742317787075486,0.0349345389396164,0.169321126022408,163,-22.76,"2 17","109 133",16,"81.25%","93.75%","V1388","V1388","blue",-0.361738580285252,-0.244068677272374,-0.276677106977746,0.142598793612499,0.606072442945006,0.28878151178838,0.105958518442621,-0.260926902253135,0.0419147701657454,0.178240367645958,0.125287206094873,0.436240053333164,0.000236583280408825,0.108942366585693,0.563822390930346,0.149182429297088,"ZGA1","GO:0006968","cellular defense response",4,3,0.36,0.00154,"Biological Processes",0.75
"10",169,"Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g11968.t1",0.742317787075486,0.0349345389396164,0.169321126022408,163,-22.76,"2 17","109 133",16,"81.25%","93.75%","V1388","V1388","blue",-0.361738580285252,-0.244068677272374,-0.276677106977746,0.142598793612499,0.606072442945006,0.28878151178838,0.105958518442621,-0.260926902253135,0.0419147701657454,0.178240367645958,0.125287206094873,0.436240053333164,0.000236583280408825,0.108942366585693,0.563822390930346,0.149182429297088,"ZGA1","GO:0007186","G protein-coupled receptor signaling pathway",38,13,3.4,0.00201,"Biological Processes",0.342105263157895
