"","X.1","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1",93,"Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g41624.t1",-0.735418045469864,0.0376020020068181,0.175166275371566,162,-21.92,"2 23","511 534",21,"57.14%","85.71%","V651","V651","green",0.346661206744832,0.216408197782862,0.147681935727297,0.298625563672032,-0.116493428589037,-0.0956476424491071,-0.358742052559834,-0.438493780329044,0.0519262820279661,0.234185865509082,0.419888535249558,0.0968742519467811,0.525470479341421,0.60255173666138,0.0437698847275677,0.012059440456724,"Maternal","GO:0006812","monoatomic cation transport",62,7,6.36,0.0381,"Biological Processes",0.112903225806452
"2",93,"Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g41624.t1",-0.735418045469864,0.0376020020068181,0.175166275371566,162,-21.92,"2 23","511 534",21,"57.14%","85.71%","V651","V651","green",0.346661206744832,0.216408197782862,0.147681935727297,0.298625563672032,-0.116493428589037,-0.0956476424491071,-0.358742052559834,-0.438493780329044,0.0519262820279661,0.234185865509082,0.419888535249558,0.0968742519467811,0.525470479341421,0.60255173666138,0.0437698847275677,0.012059440456724,"Maternal","GO:0048534","hematopoietic or lymphoid organ development",34,7,3.49,0.02,"Biological Processes",0.205882352941176
"3",95,"Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g4335.t3",-0.901553332325735,0.00221264934341623,0.0589596265985603,145,-20.15,"2 10","497 519",8,"100.00%","100.00%","V686","V686","green",0.390424293952414,0.274847834877352,0.345721060070284,0.250767342422646,-0.18677385564098,-0.217748074817843,-0.469193354530859,-0.388045246333015,0.027159506631136,0.127907044547709,0.0526084394181286,0.166250649300913,0.306043587691917,0.23123150287201,0.00674885775188884,0.0281932124899263,"Maternal","GO:0007283","spermatogenesis",36,8,3.7,0.0073,"Biological Processes",0.222222222222222
"4",95,"Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g4335.t3",-0.901553332325735,0.00221264934341623,0.0589596265985603,145,-20.15,"2 10","497 519",8,"100.00%","100.00%","V686","V686","green",0.390424293952414,0.274847834877352,0.345721060070284,0.250767342422646,-0.18677385564098,-0.217748074817843,-0.469193354530859,-0.388045246333015,0.027159506631136,0.127907044547709,0.0526084394181286,0.166250649300913,0.306043587691917,0.23123150287201,0.00674885775188884,0.0281932124899263,"Maternal","GO:0007507","heart development",48,8,4.93,0.043,"Biological Processes",0.166666666666667
"5",95,"Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g4335.t3",-0.901553332325735,0.00221264934341623,0.0589596265985603,145,-20.15,"2 10","497 519",8,"100.00%","100.00%","V686","V686","green",0.390424293952414,0.274847834877352,0.345721060070284,0.250767342422646,-0.18677385564098,-0.217748074817843,-0.469193354530859,-0.388045246333015,0.027159506631136,0.127907044547709,0.0526084394181286,0.166250649300913,0.306043587691917,0.23123150287201,0.00674885775188884,0.0281932124899263,"Maternal","GO:0022412","cellular process involved in reproduction in multic...",84,13,8.62,0.0274,"Biological Processes",0.154761904761905
"6",95,"Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g4335.t3",-0.901553332325735,0.00221264934341623,0.0589596265985603,145,-20.15,"2 10","497 519",8,"100.00%","100.00%","V686","V686","green",0.390424293952414,0.274847834877352,0.345721060070284,0.250767342422646,-0.18677385564098,-0.217748074817843,-0.469193354530859,-0.388045246333015,0.027159506631136,0.127907044547709,0.0526084394181286,0.166250649300913,0.306043587691917,0.23123150287201,0.00674885775188884,0.0281932124899263,"Maternal","GO:0044703","multi-organism reproductive process",101,15,10.37,0.0171,"Biological Processes",0.148514851485149
"7",157,"Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___RNAseq.g12155.t2",-0.785713126012336,0.0208154456440333,0.134556868539204,161,-20.66,"2 21","304 328",21,"76.19%","80.95%","V1270","V1270","green",0.244186963392838,0.184659001706366,0.318230884019152,0.493433569201163,-0.247589661708948,-0.478887348442918,-0.392628284035604,-0.121405124132049,0.178023495833515,0.311650885052491,0.0758921402267279,0.00410773414143317,0.171864401506938,0.00555692596328829,0.0262297528828109,0.508033780292778,"Maternal","GO:0045892","negative regulation of DNA-templated transcription",61,8,6.26,0.0224,"Biological Processes",0.131147540983607
"8",157,"Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___RNAseq.g12155.t2",-0.785713126012336,0.0208154456440333,0.134556868539204,161,-20.66,"2 21","304 328",21,"76.19%","80.95%","V1270","V1270","green",0.244186963392838,0.184659001706366,0.318230884019152,0.493433569201163,-0.247589661708948,-0.478887348442918,-0.392628284035604,-0.121405124132049,0.178023495833515,0.311650885052491,0.0758921402267279,0.00410773414143317,0.171864401506938,0.00555692596328829,0.0262297528828109,0.508033780292778,"Maternal","GO:0048534","hematopoietic or lymphoid organ development",34,7,3.49,0.02,"Biological Processes",0.205882352941176
"9",183,"Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g33351.t1",-0.824056652081349,0.0118827380083689,0.106462444401581,156,-25.35,"2 22","387 413",24,"66.67%","70.83%","V1500","V1500","green",0.36784657733676,0.280158473429452,0.46679808129393,0.272957545658224,-0.284030697917411,-0.317505946054575,-0.440884749845969,-0.345339283900412,0.0383288774980223,0.120411241029325,0.0070748592163122,0.130656507163952,0.11515500096042,0.0765993472644568,0.0115474722487983,0.0528874715731457,"Maternal","GO:0035070","salivary gland histolysis",2,2,0.21,0.0071,"Biological Processes",1
"10",227,"Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g4583.t1",-0.738048715198877,0.0365708397638898,0.172919066740156,169,-23.64,"2 23","479 504",23,"65.22%","86.96%","V1975","V1975","midnightblue",0.291594321449771,-0.189129909195409,0.308861775626936,0.620629098724285,-0.0716893626717997,-0.130361595661101,-0.373318147200367,-0.456586181072315,0.105384598069657,0.299872014955581,0.085430281621883,0.000150858091677843,0.696607547804926,0.476997174993005,0.0353306399383113,0.00861942843401793,"Maternal","GO:0007507","heart development",48,8,4.93,0.043,"Biological Processes",0.166666666666667
