"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category","timepoint","count","mean","sd","se","mirna_zscore","mrna_mean_zscore","mrna_sd_zscore","mrna_se_zscore"
"1","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","1_hpf",1164.82,7.36599837199513,0.328855325016439,0.16442766250822,-0.4129446161345,-0.17920224044912,-0.167005574429066,-0.167005574429066
"2","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","4_hpf",1384.56,6.85993249116725,0.791537229033098,0.395768614516549,-0.401664429252687,-0.393066818538711,1.3336384858651,1.3336384858651
"3","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","9_hpf",1217.73,8.12233199103144,0.555490338076725,0.277745169038363,-0.410228521259117,0.140426046021326,0.568053400756967,0.568053400756967
"4","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","14_hpf",5497.34,8.85705606507109,0.308438929880983,0.154219464940491,-0.190537975244384,0.450922090231423,-0.233223297289344,-0.233223297289344
"5","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","22_hpf",7356.25,9.78277651526151,0.493483519000214,0.246741759500107,-0.0951122348399436,0.842133632066655,0.366942953304604,0.366942953304604
"6","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","28_hpf",8642.16,9.48444729321241,0.770468491680965,0.385234245840483,-0.0291010165219649,0.716059032647005,1.26530498224003,1.26530498224003
"7","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","48_hpf",7442.85,9.06775287158513,0.278003612801874,0.139001806400937,-0.090666689268063,0.53996303398411,-0.3319359925589,-0.3319359925589
"8","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48664.t1b",0.901758824959898,0.00219917347841273,0.0588537096856208,170,-22.88,"2 23","429 452",21,"66.67%","85.71%","V235","V235","red",-0.428095079364075,-0.573806453691946,-0.170770147413643,0.0967927764131203,0.46823941425307,0.350334221593166,0.178264340867653,0.079040927342655,0.0145135820802099,0.000595634033148523,0.350057877093645,0.59819477190308,0.00687712277193111,0.0493282091859775,0.328993656358958,0.667190058737329,"MZT1","72_hpf",7064.87,8.81194812589638,0.249365211584882,0.124682605792441,-0.110070006996232,0.431859373803458,-0.424820642486883,-0.424820642486883
"9","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g2921.t1",-0.792010969830423,0.019130845185517,0.129810617909004,156,-24.51,"2 19","885 905",17,"76.47%","82.35%","V518","V518","red",-0.415933672766948,-0.462997585821141,-0.345283823102694,0.213298229607135,0.3920105760517,0.148630187997784,0.192466346994157,0.277809741040008,0.0179003282315117,0.00761960852777519,0.0529281041192398,0.241140668135233,0.0264876613399809,0.416876504653018,0.291268112569355,0.123685094159176,"MZT1","1_hpf",4076.88,4.62627683284245,0.497233951134725,0.248616975567363,-0.263456216157011,-1.33701471754266,0.379106955521532,0.379106955521532
"10","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g2921.t1",-0.792010969830423,0.019130845185517,0.129810617909004,156,-24.51,"2 19","885 905",17,"76.47%","82.35%","V518","V518","red",-0.415933672766948,-0.462997585821141,-0.345283823102694,0.213298229607135,0.3920105760517,0.148630187997784,0.192466346994157,0.277809741040008,0.0179003282315117,0.00761960852777519,0.0529281041192398,0.241140668135233,0.0264876613399809,0.416876504653018,0.291268112569355,0.123685094159176,"MZT1","4_hpf",4845.97,4.45016262746888,1.10612958506711,0.553064792533555,-0.223975562070664,-1.41144097636529,2.35397480418238,2.35397480418238
"11","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g2921.t1",-0.792010969830423,0.019130845185517,0.129810617909004,156,-24.51,"2 19","885 905",17,"76.47%","82.35%","V518","V518","red",-0.415933672766948,-0.462997585821141,-0.345283823102694,0.213298229607135,0.3920105760517,0.148630187997784,0.192466346994157,0.277809741040008,0.0179003282315117,0.00761960852777519,0.0529281041192398,0.241140668135233,0.0264876613399809,0.416876504653018,0.291268112569355,0.123685094159176,"MZT1","9_hpf",243.55,4.83330504078678,0.636921585979112,0.318460792989556,-0.46023731554566,-1.24952413178685,0.832164267048074,0.832164267048074
