"","V1","V2","V3","V4","V5","V6","value"
"1227","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g5765.t1a",144,-20.64,"63.64%","63.64%",-0.710513623503011
"1242","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g6847.t1",159,-21.44,"72.22%","77.78%",-0.862346630524172
"1407","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208
"1470","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489
"1716","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138
"2662","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208
"2725","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489
"2971","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138
"6035","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___TS.g35686.t1",167,-25.21,"71.43%","85.71%",-0.823595693742694
"8501","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208
"8564","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489
"8810","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138
"9264","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.40944_t",155,-20.62,"50.00%","81.82%",-0.920199448995785
"9575","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g5535.t1b",157,-20.68,"71.43%","80.95%",-0.78617633516765
"9580","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g6177.t1",153,-20.49,"61.29%","67.74%",-0.765819991928631
"10167","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___TS.g30953.t1",147,-20.3,"68.75%","81.25%",-0.766614393261313
"10315","Montipora_capitata_HIv3___Scaffold_2_67225","Montipora_capitata_HIv3___RNAseq.g25318.t1",152,-20.22,"57.89%","78.95%",-0.736834936471389
"12340","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___RNAseq.g49789.t1a",172,-25.86,"76.19%","85.71%",-0.762010870383994
"13246","Montipora_capitata_HIv3___Scaffold_4_291272","Montipora_capitata_HIv3___TS.g42423.t1",160,-21.83,"77.78%","83.33%",-0.922390996687133
