"","miRNA","mRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category"
"1","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.32244_t",143,-20.84,"2 18","443 460",16,"68.75%","75.00%","V7807","V7807","black",0.154438709785105,0.434195661569933,0.481667631232497,-0.325471899100532,-0.0682017292299774,0.0342609269076679,-0.391119976140046,-0.319769325024648,0.398692181635035,0.0130277884021081,0.00525029848212618,0.0691025088962775,0.710719542310927,0.852325078684197,0.0268631637194897,0.0744080786026224,"Wave 2 MZT"
"2","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g10153.t1",148,-21.7,"2 17","636 654",15,"73.33%","73.33%","V9604","V9604","black",0.302015157208713,0.440518634007564,0.371685291270185,-0.0716313593566049,-0.213198057880141,-0.202347135513496,-0.138173867713663,-0.488868662022557,0.0929628329525908,0.0116246597893356,0.0362048005437976,0.696841448718731,0.241366950737692,0.266721163404257,0.450753074600684,0.00452265194178176,"Wave 2 MZT"
"3","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g18413.t1",152,-22.84,"2 13","524 542",11,"81.82%","100.00%","V5190","V5190","darkorange",0.282452707446746,0.431193972160488,0.25245703631067,-0.680471693762774,-0.439392528288599,-0.146082021833356,0.117867999723338,0.181974528243487,0.117275924772509,0.0137420580400954,0.163319470632991,1.82588675475288e-05,0.0118648014688805,0.424997914117369,0.520561601493686,0.318860402580144,"Wave 2 MZT"
"4","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g19784.t1",153,-22.02,"2 18","710 728",16,"68.75%","81.25%","V9431","V9431","darkgreen",-0.191528603737752,0.570132799723946,-0.106386648084628,-0.649403289814912,-0.102456992956075,-0.0695733132154406,0.193453372718843,0.355762675366018,0.293670255978391,0.000657715378221621,0.562239214421701,5.78407284693401e-05,0.576846508826725,0.705158170126905,0.288753307949854,0.0456790235476328,"Wave 2 MZT"
"5","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g20771.t1",147,-20.6,"2 16","936 954",14,"64.29%","85.71%","V9318","V9318","cyan",0.314400852913071,0.430345079073515,0.263702136949175,0.150656559745012,-0.411912614968222,-0.422129482938796,-0.216905427897741,-0.108157102876011,0.0796863277175481,0.013949906579076,0.144749108089731,0.41048063111247,0.0191551760477056,0.0161009949789379,0.233086550947921,0.555714000359874,"Wave 2 MZT"
"6","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g21019.t2",152,-24,"2 17","167 185",15,"60.00%","93.33%","V20940","V20940","black",0.511426721219369,0.29571259394535,0.411036023310666,-0.40243865207328,-0.0738260267528296,-0.0113137254437827,-0.378484374926778,-0.352112559278715,0.00277491698869715,0.100334359815218,0.0194381973830185,0.0224021735975337,0.688010590851642,0.950996341413452,0.0326767956274298,0.0481080568231379,"Wave 2 MZT"
"7","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g24403.t1",144,-20.85,"2 18","418 439",19,"57.89%","78.95%","V3922","V3922","darkorange",0.0735348162681592,0.47558537067012,0.0590874462319636,-0.739477712785117,-0.0878220387636798,0.16139687788708,-0.0220205701910575,0.0797158106825313,0.689180067320392,0.005940879923432,0.748034984411657,1.33093142035852e-06,0.632681329012049,0.377517358998286,0.904779867260322,0.664512869035952,"Wave 2 MZT"
"8","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g2454.t1",156,-25.01,"2 17","207 225",15,"66.67%","93.33%","V27760","V27760","cyan",0.323775085145777,0.26334875645587,0.249776801222007,0.353889095095979,-0.406967087871854,-0.397185064780964,-0.460237768002102,0.0736001827352869,0.0706493919155736,0.145308233477854,0.167986331631242,0.0469132817179064,0.0207976839522622,0.0243901122691472,0.00803718534474398,0.688917499694469,"Wave 2 MZT"
"9","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g25088.t1",150,-20.44,"2 11","811 829",9,"100.00%","100.00%","V20646","V20646","black",0.252487208934923,0.184506763222769,0.241723839985531,-0.255693963680689,-0.0876818249948933,0.10790575906835,-0.0717041468800812,-0.371543635655908,0.16326746722766,0.312056992132099,0.182578078878753,0.157807848017377,0.633226675236589,0.55663821584316,0.696547934213045,0.036281453935587,"Wave 2 MZT"
"10","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g25345.t1",155,-20.79,"2 18","266 283",16,"68.75%","93.75%","V18550","V18550","darkorange",0.231759371237176,0.593989269068277,0.184574150170427,-0.368987867886698,-0.0735109037756924,0.0756319312636596,-0.121797496263285,-0.521658453813864,0.201838829448926,0.000338162360456642,0.311877191807432,0.0376871300412823,0.689276129215786,0.680774125629883,0.506653386605977,0.00219891642126662,"Wave 2 MZT"
"11","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g26664.t1",144,-22.45,"2 13","461 479",11,"72.73%","90.91%","V17596","V17596","black",0.351044395840819,0.613753311925375,0.322641308980368,-0.366496572277016,-0.239869791436111,-0.158481778261081,-0.387148409555116,-0.135442465217238,0.0488380240321864,0.000187098290473203,0.0716979122463317,0.039099331778807,0.18606005771334,0.386307122973058,0.0285911433226887,0.459839417148683,"Wave 2 MZT"
"12","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g26777.t1",144,-22.93,"2 18","772 792",18,"61.11%","77.78%","V10668","V10668","cyan",0.322628706253416,-0.069042667552858,0.288574613637589,0.274746219340412,-0.291383743535166,-0.442435371920252,-0.473739986268731,0.39065223004559,0.0717096348861236,0.707308028717886,0.109207575314019,0.128053751606052,0.105647877718405,0.0112253222826601,0.0061651735433549,0.0270621183051419,"Wave 2 MZT"
"13","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g26785.t1",150,-21.81,"2 15","530 548",13,"69.23%","92.31%","V12822","V12822","black",0.277928249493738,0.435653772011387,0.304522206660622,0.20554426601773,-0.175491707325949,-0.368241501320139,-0.463794502763131,-0.216120782774258,0.123518344817987,0.0126922243914536,0.0901480756824995,0.259076865757645,0.336694054252918,0.0381058222093119,0.0075025189463492,0.23482289188846,"Wave 2 MZT"
"14","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g29212.t1",155,-25.33,"2 18","438 455",16,"75.00%","87.50%","V25404","V25404","black",0.327140733042585,0.506728245219314,0.355633714912993,-0.263757532603313,-0.193753135291516,-0.0531901784458392,-0.345188433095009,-0.333613413739214,0.0676070066663792,0.00308048249981425,0.0457631382544124,0.1446616020335,0.287992312087192,0.772487564755985,0.0529980481026339,0.0620442581409213,"Wave 2 MZT"
"15","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g30245.t1",152,-22,"2 17","829 847",15,"60.00%","93.33%","V28506","V28506","black",0.533955009077201,-0.00358099499690802,0.445835018262904,-0.352193667276059,-0.259736479525921,-0.195018336798059,-0.176628434471419,0.00736788572825991,0.00164650862126767,0.984481134730697,0.0105454400358722,0.04805298602064,0.151113909639556,0.284794547199724,0.333523836268179,0.968076161352147,"Wave 2 MZT"
"16","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g30392.t1",144,-23.42,"2 18","725 745",18,"66.67%","72.22%","V5896","V5896","cyan",0.29568888426469,0.0144742592050309,0.524586375013685,0.140685312313276,-0.604709762887539,-0.488674351342119,0.148051771518863,-0.0301024880858864,0.100362901203282,0.937330804608754,0.00205454597837917,0.44248434294436,0.000246486242960838,0.00454108436713229,0.418712347145013,0.870087566899653,"Wave 2 MZT"
