"","miRNA","mRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category"
"1","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.3938_t",156,-22.73,"2 18","264 283",17,"76.47%","82.35%","V15839","V15839","blue",-0.183724842648124,-0.230831845169587,-0.0973548247098055,-0.230831845169587,0.424955495273967,0.19039147788011,0.119603004323394,0.00779338021963223,0.314148033519504,0.203700540497288,0.596061289179521,0.203700540497288,0.0153318509103062,0.296600009182042,0.514397729283054,0.966233579975138,"ZGA1"
"2","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g10011.t1",145,-22.8,"2 18","104 122",16,"62.50%","75.00%","V15925","V15925","blue",-0.229856422133358,-0.208913612692396,-0.12198685683179,-0.155321065482911,0.372589063269378,0.19974973609659,0.23454027832004,-0.0908011205455541,0.205671147823514,0.251178215208846,0.505987872447952,0.395970111181395,0.0357188245217994,0.273038804377334,0.196327709053059,0.621139671990187,"ZGA1"
"3","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g10189.t1",153,-24.97,"2 14","496 514",12,"75.00%","100.00%","V15319","V15319","blue",-0.208829793514796,-0.123867682689343,-0.147801639116178,-0.328476132989434,0.476068491542854,0.153595174269892,0.0812456030423437,0.0980659794546603,0.251372753662417,0.499401427806477,0.419507641256992,0.0664286018732841,0.00588332520421644,0.401304459559099,0.658459407211334,0.593366539806069,"ZGA1"
"4","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g10190.t1",153,-24.97,"2 14","552 570",12,"75.00%","100.00%","V26301","V26301","blue",-0.448780820355265,-0.157179849768396,-0.311128450206212,-0.274102808548516,0.362118831358647,0.419090765256499,0.085328565083574,0.324653767179668,0.0099847348453342,0.390270737221974,0.0830425677484629,0.128985556281686,0.0416839450508448,0.0169636556062423,0.642407470618881,0.0698450214402886,"ZGA1"
"5","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g10274.t1",148,-23.38,"2 18","527 547",18,"66.67%","77.78%","V14449","V14449","blue",-0.309722435245602,-0.182768523014953,-0.309722435245602,-0.309722435245602,0.27039068158929,0.285850788299019,0.282802157188622,0.272892201674829,0.0845175397832617,0.316717317444687,0.0845175397832617,0.0845175397832617,0.134459373385533,0.112744377228009,0.116803751828263,0.130752322867032,"ZGA1"
"6","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g1119.t1",146,-23.29,"2 18","664 687",21,"71.43%","76.19%","V8989","V8989","blue",-0.340600437019837,-0.292009909157919,-0.135207198634326,-0.216404325616399,0.439379312549311,0.263992036306895,0.19316731458697,0.0876832069853052,0.0564495914241567,0.104866450220699,0.460626582921007,0.234194440046748,0.0118676443010001,0.144291592950407,0.289480710876271,0.633221299211294,"ZGA1"
"7","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g11510.t1",152,-20.2,"2 17","677 695",15,"73.33%","80.00%","V15881","V15881","blue",-0.312992988261224,-0.312992988261224,-0.177598346005484,-0.216255801500731,0.43041199852157,0.23710637973338,0.0973927095181684,0.254929036255546,0.0811172004309409,0.0811172004309409,0.330833352228049,0.234523491643484,0.0139334265791089,0.191335873921743,0.595917600456223,0.159098083237228,"ZGA1"
"8","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g12077.t1",160,-24.45,"2 18","728 747",17,"70.59%","94.12%","V3758","V3758","blue",-0.443553612192622,-0.306379814748572,-0.287858089954588,0.328537614812692,0.428750898227105,0.141095422207677,0.109690013240699,0.0297175684076088,0.0109977287769349,0.0881047949664836,0.11012978264678,0.0663747371714728,0.0143473520003483,0.441141956771237,0.550092785641589,0.871735010313343,"ZGA1"
"9","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g13180.t1",150,-23.84,"2 17","211 228",15,"66.67%","93.33%","V7777","V7777","blue",-0.221567741516276,-0.221567741516276,-0.018404245703564,0.21209383356834,0.4271503543065,-0.0244259791532924,-0.0925579370120073,-0.060720542973424,0.22294763525239,0.22294763525239,0.92036313676268,0.243870735045695,0.0147558701795194,0.89443349141026,0.614374370387068,0.741304671938001,"ZGA1"
"10","Montipora_capitata_HIv3___Scaffold_10_631026","Montipora_capitata_HIv3___RNAseq.g13903.t1",152,-22.96,"2 17","853 871",15,"73.33%","80.00%","V18855","V18855","blue",-0.365284068970529,-0.134241902394783,-0.276144867888989,-0.200026877131779,0.328497310322956,0.118679301512327,0.214883850281283,0.313637254269514,0.0398019035635429,0.463863788363011,0.126045336910578,0.272360127246925,0.0664100443919697,0.517674837923684,0.237577709440069,0.0804599696656702,"ZGA1"
