"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category"
"1","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g17208.t1",0.718381244484376,0.0447079712219248,0.189814250157436,157,-21.93,"2 23","265 284",21,"71.43%","76.19%","V16","V16","blue",-0.354072503369488,-0.201224439996744,-0.126959060514847,-0.176667499192513,0.493366748156531,0.0415392084640843,0.226134660938847,0.0978828855141296,0.0467912950808719,0.269440078047585,0.48867043000955,0.333415214587265,0.00411356285771519,0.821411779472566,0.213310671313904,0.594059823911936,"ZGA1"
"2","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g41943.t1",-0.802666882987614,0.016479606791427,0.121744380763827,151,-20.05,"2 22","16 38",20,"65.00%","75.00%","V24","V24","blue",-0.427512629880521,-0.377145036613262,-0.163647037862148,-0.05493495320787,0.432656267685405,0.248779643878511,0.196983262174566,0.144820483825318,0.01466256284792,0.0333487253764668,0.370813279298435,0.765229456981333,0.0133901035538078,0.169746608128311,0.279873612594075,0.429050857748196,"ZGA1"
"3","Montipora_capitata_HIv3___Scaffold_14_1007097","Montipora_capitata_HIv3___TS.g13270.t1",0.787973868174793,0.0202005170370303,0.132913621019959,149,-22.28,"2 14","156 173",12,"83.33%","83.33%","V59","V59","green",0.21003594435052,0.401708229735681,0.330118812717874,0.328361378446726,-0.132381468446071,-0.20013399904697,-0.416442674113271,-0.521266223644488,0.24858296499151,0.0226702867258577,0.0650011280377257,0.0665292305924825,0.470136681040218,0.272098095444512,0.0177464717491419,0.00221891074761357,"Maternal"
"4","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g45415.t1",0.850772843758801,0.00740569708326695,0.0886816667534067,162,-20.82,"2 21","35 59",21,"71.43%","85.71%","V72","V72","magenta",-0.582495632828991,-0.0738473163851007,-0.541470267965728,-0.0280712994488822,0.198276763605863,0.294781944162743,0.382810966874759,0.350014841985335,0.000468918200976163,0.68792512123288,0.00137220448072323,0.878786864745,0.276664299776061,0.101459279635682,0.0305809711770683,0.0495499279947922,"ZGA2"
"5","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g25533.t1",0.728024366220662,0.0405942779007604,0.181514375884013,157,-23.88,"2 23","225 250",23,"69.57%","69.57%","V88","V88","blue",-0.218003915782914,-0.218003915782914,-0.151280129520826,0.00970787185865853,0.419343964649008,0.171326735613353,0.135881638028776,-0.148972249063141,0.230670255999919,0.23067025599992,0.408523639859578,0.957945226502298,0.0168903359155021,0.348466136190018,0.458371926437064,0.415792956571208,"ZGA1"
"6","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g18328.t1",-0.866300626080087,0.00539175919510709,0.0789562146617801,155,-23.85,"2 17","454 473",16,"68.75%","93.75%","V89","V89","magenta",-0.412899232433234,-0.27742749978768,-0.409243247713135,-0.218544570591327,0.279766311156446,0.150864432596573,0.441828082429031,0.445655724343325,0.0188407266565891,0.124224069313097,0.0200278214331771,0.229487227708405,0.120953343775821,0.409827663169313,0.0113505762698505,0.0105804074775259,"ZGA2"
"7","Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g33549.t1",0.962161170169037,0.000131627285293379,0.0309462980531405,148,-21.27,"2 23","338 357",21,"66.67%","76.19%","V91","V91","blue",-0.228701557151803,-0.228701557151803,-0.106577904522054,-0.151326650770429,0.460965021555352,0.0399495475800486,0.188877692459743,0.025515408000946,0.208021218732508,0.208021218732508,0.561532628219843,0.408377850737405,0.0079253055778921,0.82814283963992,0.300528893385831,0.889753035468416,"ZGA1"
"8","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2"
"9","Montipora_capitata_HIv3___Scaffold_10_659884","Montipora_capitata_HIv3___RNAseq.g6847.t1",-0.736124747222461,0.0373232729393377,0.174540696908696,159,-21.44,"2 20","770 793",18,"72.22%","77.78%","V114","V114","green",0.15111630710388,0.41996345744379,0.430314293953515,0.348711172272941,-0.476766083012966,-0.251309783182473,-0.37671286943389,-0.245316495144797,0.409037263540595,0.0167120592736981,0.0139574933935021,0.050463195706441,0.00580106166256116,0.165305594856974,0.0335679159251604,0.175961936576053,"Maternal"
"10","Montipora_capitata_HIv3___Scaffold_5_303930","Montipora_capitata_HIv3___RNAseq.g6399.t1",0.87453929721529,0.00448410723010269,0.0740916000345048,155,-22,"2 16","202 224",14,"78.57%","85.71%","V125","V125","magenta",-0.299320939513205,-0.33282428521774,-0.365303386553292,0.246343816102691,-0.0496636554344674,0.179000040242875,0.4927877199726,0.128980690400537,0.0960618154638243,0.0627025483657402,0.0397906310851469,0.174101645960153,0.787214809565958,0.326968743886091,0.00416436950798234,0.481717168854622,"ZGA2"
"11","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g11732.t1",-0.80951270915337,0.014905140385987,0.116765164960568,148,-20.14,"2 15","363 383",13,"84.62%","84.62%","V129","V129","magenta",-0.487064797286396,-0.437570910472855,-0.328553338841749,0.27887348482497,0.220708549788848,0.228306500580873,0.37889376126455,0.146406750141758,0.00469626454497456,0.0122620897520489,0.0663609667104662,0.122194291134376,0.224793184789622,0.208829355802744,0.0324736205221107,0.423958105334554,"ZGA2"
"12","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g35211.t1",0.948667126644882,0.000325277986171039,0.0361623102751619,144,-20.3,"2 20","49 73",20,"70.00%","70.00%","V143","V143","magenta",-0.353835324702503,-0.404648971615591,-0.418973435253201,-0.142786130696945,0.244059115637678,0.239533280709646,0.425642471586817,0.411008994334099,0.0469490930081773,0.0216067240976694,0.0169977209169082,0.435631315837484,0.178257906581346,0.186696997999411,0.0151495887328102,0.0194469788848081,"ZGA2"
"13","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,172,-22.93,"2 17","521 538",15,"93.33%","93.33%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"14","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,172,-24.48,"2 17","368 385",15,"93.33%","93.33%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"15","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,176,-29.46,"2 17","572 589",15,"93.33%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"16","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-28.17,"2 17","473 490",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"17","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.96,"2 17","452 469",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"18","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","389 406",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"19","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","431 448",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"20","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","557 574",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"21","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","659 676",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"22","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","677 694",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"23","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","833 850",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"24","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","851 868",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
"25","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g44432.t1",-0.891092935520778,0.00297127354198949,0.0645121271406515,180,-29.97,"2 17","869 886",15,"100.00%","100.00%","V170","V170","pink",-0.375772515037604,-0.458952064518762,0.0424980400832496,-0.10287170376355,0.00477933629502004,0.0274570724372251,0.460055184621328,0.402806649883094,0.0340488936121671,0.00823825852209373,0.817357816280503,0.575296967690355,0.979288882362787,0.881420297852763,0.00806548340858556,0.0222680879813953,"ZGA2"
