"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category","timepoint","count","mean","sd","se","mirna_zscore","mrna_mean_zscore","mrna_sd_zscore","mrna_se_zscore"
"1","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","1_hpf",1164.82,7.53826390852751,0.0736846555342351,0.0368423277671176,-0.428907831807194,-0.227927560002353,-1.03825153931919,-1.03825153931919
"2","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","4_hpf",1384.56,7.48817757197738,0.520810817529005,0.260405408764503,-0.423859359488685,-0.254887359256423,0.700186524487305,0.700186524487305
"3","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","9_hpf",1217.73,7.20984181063785,0.209141116096558,0.104570558048279,-0.427692237603261,-0.404706187459857,-0.511593322811607,-0.511593322811607
"4","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","14_hpf",5497.34,6.34844709684764,0.209038624635514,0.104519312317757,-0.329369253080577,-0.868366142686573,-0.511991812258745,-0.511991812258745
"5","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","22_hpf",7356.25,6.56653195826366,1.21097503698603,0.605487518493017,-0.2866612541837,-0.750978358130928,3.38356283158747,3.38356283158747
"6","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","28_hpf",8642.16,6.51586017783164,0.738282298116941,0.369141149058471,-0.257117789001694,-0.778253282239749,1.5457212566975,1.5457212566975
"7","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","48_hpf",7442.85,6.92090673110032,0.168800875337938,0.0844004376689688,-0.284671640536741,-0.560230274033747,-0.668437220571998,-0.668437220571998
"8","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g22268.t4",-0.712590711999801,0.0472944381361324,0.194870560131077,160,-22.92,"2 23","762 791",27,"66.67%","74.07%","V103","V103","black",0.331720310394267,0.308495595509106,0.122169046746035,-0.382496000240146,-0.214158945907104,-0.273354789594525,-0.0553515995948126,0.16297638268718,0.0636326629180619,0.0858209055059457,0.50534797209925,0.0307297495989304,0.239202197182574,0.130075129103366,0.763499109646218,0.372804037517534,"MZT2","72_hpf",7064.87,7.27263309175151,0.281136879062352,0.140568439531176,-0.29335563783787,-0.37090774160954,-0.231671937281072,-0.231671937281072
"9","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___TS.g42423.t1",-0.79405019880265,0.0186042741763544,0.12826687368607,160,-21.83,"2 20","128 149",18,"77.78%","83.33%","V211","V211","black",0.247713774308781,0.586870581008531,0.282919074212354,-0.116864018273713,-0.153032191469415,-0.232019536777107,-0.234124737729727,-0.381462945279704,0.171642648073963,0.000414649711930219,0.116646091419901,0.524144818040214,0.403053327859787,0.201318751380611,0.197144496387691,0.0312218692854589,"MZT2","1_hpf",0,7.54451163156537,0.178033163204524,0.0890165816022621,-0.455669284096471,-0.224564619717685,-0.632541846944809,-0.632541846944809
"10","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___TS.g42423.t1",-0.79405019880265,0.0186042741763544,0.12826687368607,160,-21.83,"2 20","128 149",18,"77.78%","83.33%","V211","V211","black",0.247713774308781,0.586870581008531,0.282919074212354,-0.116864018273713,-0.153032191469415,-0.232019536777107,-0.234124737729727,-0.381462945279704,0.171642648073963,0.000414649711930219,0.116646091419901,0.524144818040214,0.403053327859787,0.201318751380611,0.197144496387691,0.0312218692854589,"MZT2","4_hpf",0,8.19336717087575,0.730090996812217,0.365045498406108,-0.455669284096471,0.124692608692159,1.51387326570384,1.51387326570384
