"","miRNA","mRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","gene","moduleColor","hpf_1","hpf_4","hpf_9","hpf_14","hpf_22","hpf_28","hpf_48","hpf_72","hpf_1.1","hpf_4.1","hpf_9.1","hpf_14.1","hpf_22.1","hpf_28.1","hpf_48.1","hpf_72.1","category"
"1","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.17930_t",153,-22.81,"2 15","371 390",14,"78.57%","92.86%","V13058","V13058","magenta",-0.470295196424975,-0.214435095059837,-0.401975575043895,-0.283541361827497,0.340220694489667,0.240910166081782,0.345645456914582,0.443470910870172,0.00660324931394237,0.238582481373641,0.0225718481528382,0.115809615609022,0.0567430407620102,0.184100502857605,0.0526636032612802,0.0110144265975414,"ZGA2"
"2","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.18202_t",140,-20.28,"2 9","250 268",7,"100.00%","100.00%","V6135","V6135","pink",-0.324810743367246,-0.148721222843527,-0.272800653695976,-0.248670859653108,0.0483636850776792,-0.0523491346255684,0.337220953562002,0.661767975545744,0.0697020748923895,0.416587979036009,0.13088664918301,0.169939435093542,0.792662228647465,0.775993032526472,0.0591036619992711,3.71370506913128e-05,"ZGA2"
"3","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g11639.t1",146,-21.09,"2 11","614 632",9,"88.89%","100.00%","V15160","V15160","magenta",-0.477924088900861,-0.32216240141289,-0.410995001937953,-0.125128990649707,0.417431417775927,0.280906983813365,0.286900971693925,0.350971109618193,0.00566667482446254,0.0721444245310972,0.0194515261955569,0.495008804201612,0.0174507435877582,0.119381555520489,0.111370740442182,0.0488884283201484,"ZGA2"
"4","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g14809.t1",161,-27.73,"2 14","82 100",12,"91.67%","100.00%","V6386","V6386","magenta",-0.498503836774295,0.183840865618098,-0.505832365588748,-0.0990932477196821,0.38458872919614,0.371530523594668,0.165588509960551,-0.00211917828673314,0.00368568548968065,0.313837209308374,0.00314193559260962,0.589483333486953,0.0297521881686724,0.0362885558295135,0.365085663546696,0.990815814831047,"ZGA2"
"5","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g15141.t1",158,-22.87,"2 15","90 108",13,"76.92%","100.00%","V5778","V5778","pink",-0.252860838654918,0.0936107052856909,-0.265977890025573,-0.110613486225016,-0.260398237902985,-0.229945968387674,0.277851880040223,0.748333835870252,0.162624486718971,0.610335102665369,0.141185790840247,0.546719273210888,0.150037976797692,0.205489695270008,0.123625782670651,8.45847155329741e-07,"ZGA2"
"6","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g15174.t1",151,-24.83,"2 16","657 675",14,"64.29%","92.86%","V10670","V10670","pink",-0.365987968677646,0.0264796925704036,-0.194540888024822,-0.18696414182027,0.257601103764265,-0.198114513490703,0.0973842409525424,0.56414247472623,0.0393928100450451,0.885613265461586,0.285998598361066,0.305542197588953,0.154623780604172,0.277065548194805,0.59594971855766,0.000771225265879567,"ZGA2"
"7","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g15259.t1",143,-22.68,"2 18","963 980",16,"68.75%","75.00%","V12630","V12630","pink",-0.463323548441651,-0.280388744733885,-0.312373967342717,-0.234404571413701,0.180032055285419,0.162588440432977,0.372004525362575,0.575865810850983,0.00757152901973524,0.120093769205294,0.0817525652951633,0.196594195695933,0.324141238620699,0.373958459170072,0.0360325350495914,0.000563145062275566,"ZGA2"
"8","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g15920.t1",156,-24.15,"2 17","576 594",15,"73.33%","86.67%","V6673","V6673","pink",-0.324047403225752,-0.170565341900198,-0.200781385732997,-0.26627830174009,0.212888320981215,-0.209671262258537,0.249722217796133,0.708733156080225,0.0703993372432651,0.350644683444644,0.270518003587976,0.140720237065106,0.242067527075424,0.249424286701444,0.168082349643469,5.63855482265819e-06,"ZGA2"
"9","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g18033.t1",150,-23.36,"2 16","330 350",16,"75.00%","81.25%","V12209","V12209","magenta",0.0646594737133343,-0.273516837730197,-0.364194509357871,-0.366981319077164,0.477824753703991,0.365009835127996,0.048671894792803,0.0485267088271088,0.725149510084273,0.129838514827483,0.0404418726247585,0.0388212615455027,0.0056780973060827,0.039962205953444,0.791369822004824,0.791978558423736,"ZGA2"
"10","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g18328.t1",155,-23.85,"2 17","454 473",16,"68.75%","93.75%","V89","V89","magenta",-0.412899232433234,-0.27742749978768,-0.409243247713135,-0.218544570591327,0.279766311156446,0.150864432596573,0.441828082429031,0.445655724343325,0.0188407266565891,0.124224069313097,0.0200278214331771,0.229487227708405,0.120953343775821,0.409827663169313,0.0113505762698505,0.0105804074775259,"ZGA2"
"11","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g19710.t1",157,-25.35,"2 14","534 552",12,"83.33%","100.00%","V28291","V28291","magenta",0.238315187145247,-0.266015449888881,-0.128555859497282,-0.0656637508721563,-0.23677611990505,0.162265473247643,0.34853065670868,-0.0521001369382014,0.189015355064181,0.141127522244591,0.483174093036954,0.721048753567531,0.191973310108881,0.374921129790133,0.0505907011562156,0.77703168883412,"ZGA2"
"12","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g19764.t1",147,-24.09,"2 16","361 379",14,"64.29%","85.71%","V13127","V13127","pink",-0.190229128267813,0.0234978408255951,-0.259476170332031,-0.205194817113592,0.118798709908681,-0.123773954265012,-0.0602579510693756,0.696635470313547,0.297019803711085,0.898423763117851,0.151538663403544,0.259905307208681,0.517250625192984,0.499728628030125,0.743209222505922,9.47625106164146e-06,"ZGA2"
"13","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g20020.t1",185,-45.36,"2 18","855 873",16,"100.00%","100.00%","V5990","V5990","pink",0.249529906971145,-0.338076560695908,0.378095805463906,-0.187360074293699,-0.148823008838328,-0.0999564526648858,-0.106540872804642,0.253131256862413,0.168420956232192,0.0584226043741006,0.0328705935566255,0.304500602565858,0.416265511173454,0.586228934357134,0.561669408007551,0.162160255216655,"ZGA2"
"14","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g20746.t1",144,-22.31,"2 13","41 59",11,"72.73%","90.91%","V23306","V23306","pink",-0.232992993537847,0.00392607770159107,-0.228521190577352,-0.197751972975615,-0.0737366301752478,-0.189544697557777,0.0748188566179049,0.843802550504343,0.199381014552495,0.982985864432021,0.208389913502982,0.277963478559318,0.688369524720969,0.298793708976747,0.684028804066001,1.31525149655779e-09,"ZGA2"
