"","X.query","GOs","Term","Annotated","Significant","Expected","Fisher","ontology","X","V1","V3","V4","V5","V6","value","sig.prop"
"1","Montipora_capitata_HIv3___RNAseq.g34610.t2a","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",20364,"Montipora_capitata_HIv3___Scaffold_8_553085",164,-30.15,"78.95%","89.47%",-0.762345007592149,0.0468085106382979
"2","Montipora_capitata_HIv3___RNAseq.g34610.t2a","GO:0019099","female germ-line sex determination",6,2,0.19,0.01412,"Biological Processes",20364,"Montipora_capitata_HIv3___Scaffold_8_553085",164,-30.15,"78.95%","89.47%",-0.762345007592149,0.333333333333333
"3","Montipora_capitata_HIv3___RNAseq.g34610.t2a","GO:0048024","regulation of mRNA splicing, via spliceosome",86,4,2.76,0.03189,"Biological Processes",20364,"Montipora_capitata_HIv3___Scaffold_8_553085",164,-30.15,"78.95%","89.47%",-0.762345007592149,0.0465116279069767
"4","Montipora_capitata_HIv3___RNAseq.g34610.t2a","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",20364,"Montipora_capitata_HIv3___Scaffold_8_553085",164,-30.15,"78.95%","89.47%",-0.762345007592149,0.0400381315538608
"5","Montipora_capitata_HIv3___RNAseq.g34610.t2a","GO:0070828","heterochromatin organization",37,4,1.19,0.02982,"Biological Processes",20364,"Montipora_capitata_HIv3___Scaffold_8_553085",164,-30.15,"78.95%","89.47%",-0.762345007592149,0.108108108108108
"6","Montipora_capitata_HIv3___RNAseq.g27212.t1","GO:0006325","chromatin organization",705,33,22.61,0.00092,"Biological Processes",6376,"Montipora_capitata_HIv3___Scaffold_13_954675",142,-20.29,"77.78%","100.00%",-0.886690196777723,0.0468085106382979
"7","Montipora_capitata_HIv3___RNAseq.g27212.t1","GO:0051276","chromosome organization",1049,42,33.64,0.00083,"Biological Processes",6376,"Montipora_capitata_HIv3___Scaffold_13_954675",142,-20.29,"77.78%","100.00%",-0.886690196777723,0.0400381315538608
"8","Montipora_capitata_HIv3___RNAseq.g27924.t1","GO:1903442","response to lipoic acid",1,1,0.03,0.03207,"Biological Processes",3761,"Montipora_capitata_HIv3___Scaffold_11_841599",168,-27.03,"88.24%","88.24%",-0.779399477395057,1
"9","Montipora_capitata_HIv3___RNAseq.g4682.t1","GO:0051497","negative regulation of stress fiber assembly",13,3,0.42,0.00735,"Biological Processes",17905,"Montipora_capitata_HIv3___Scaffold_8_508612",166,-20.05,"78.26%","82.61%",-0.876016757967124,0.230769230769231
"10","Montipora_capitata_HIv3___RNAseq.g46235.t1b","GO:0051641","cellular localization",2732,83,87.62,0.01931,"Biological Processes",13020,"Montipora_capitata_HIv3___Scaffold_4_264216",179,-31.61,"88.89%","88.89%",-0.817953082672661,0.0303806734992679
